,t_count,concept,d_count,tf,idf,tf_idf,weight,DSI-0,DSI-1,DSI-2,DSI-3,DSI-4,DSI-5,DSI-6,DSI-7,DSI-8,DSI-9,DSI-10,DSI-11,DSI-12,DSI-13,DSI-14,DSI-15,DSI-16,DSI-17,DSI-18,DSI-19,DSI-20,DSI-21,DSI-22,DSI-23,DSI-24,DSI-25,DSI-26,DSI-27,DSI-28,DSI-29,DSI-30,DSI-31,DSI-32
budget,4,economy,3,0.0012734797835084368,1.0413926851582251,0.0013261925312425663,1.0,,0.009615384615384616,0.014492753623188406,,,,,,,,,,,,,,,,0.05128205128205128,,,,,,,,,,,,,,
voter,4,government,3,0.0012734797835084368,1.0413926851582251,0.0013261925312425663,1.0,,,,,,,,,0.015873015873015872,,,,,,0.003484320557491289,,,,,,,,,,,,,,,,0.06060606060606061,,
administration official,4,trumpStaff,3,0.0012734797835084368,1.0413926851582251,0.0013261925312425663,1.0,,0.019230769230769232,,,,,,,,,,,,,,,0.021739130434782608,,,,,,,,0.0044444444444444444,,,,,,,,
hopeHicks,4,trumpStaff,3,0.0012734797835084368,1.0413926851582251,0.0013261925312425663,1.0,,,,,0.022727272727272728,,,,,,,,,,,,0.021739130434782608,,,,,,0.024691358024691357,,,,,,,,,,
profit,4,economy,1,0.0012734797835084368,1.5185139398778875,0.0019337968034102357,1.0,,,,,,,,,,,,,,,,,,,,,0.07407407407407407,,,,,,,,,,,,
sarahHuckabeeSanders,4,trumpStaff,3,0.0012734797835084368,1.0413926851582251,0.0013261925312425663,1.0,,,,,,,,,,,0.02631578947368421,,,,,,,,,0.04878048780487805,,,,,,,,0.009708737864077669,,,,,
melaniaTrump,4,trumpFamily,3,0.0012734797835084368,1.0413926851582251,0.0013261925312425663,1.0,0.023255813953488372,,,,,,,,,,,,,,,,,,,,,0.008849557522123894,0.024691358024691357,,,,,,,,,,
drug,4,violenceCrime,3,0.0012734797835084368,1.0413926851582251,0.0013261925312425663,1.0,,,0.014492753623188406,,,,,,,,,,,,,,,,,,,0.008849557522123894,,,,,,,,,,0.008695652173913044,
russia probe,4,russiaElectionInterference,2,0.0012734797835084368,1.2174839442139063,0.001550441189702523,1.0,,,,,,,,,,,,0.004149377593360996,,,,,,,,,,,,,,,,,0.05,,,,
jury,4,judicial,1,0.0012734797835084368,1.5185139398778875,0.0019337968034102357,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.08163265306122448,,,,,,,,,
us official,4,government,3,0.0012734797835084368,1.0413926851582251,0.0013261925312425663,1.0,,,,,,,,,,,,,,,,,0.021739130434782608,,,,,0.008849557522123894,,,,0.038461538461538464,,,,,,,
investigation,4,russiaElectionInterference,4,0.0012734797835084368,0.9164539485499251,0.0011670855759948107,1.0,,0.009615384615384616,,,,,0.010526315789473684,,,,,0.004149377593360996,,,,,,,,,,,,,,,,,0.016666666666666666,,,,
tweet,4,controversy,2,0.0012734797835084368,1.2174839442139063,0.001550441189702523,1.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0044444444444444444,,,,,,,0.013043478260869565,
investigator,4,russiaElectionInterference,3,0.0012734797835084368,1.0413926851582251,0.0013261925312425663,1.0,,,0.014492753623188406,,,,,,,,,0.008298755186721992,,,,,,,,,,,,0.02040816326530612,,,,,,,,,
disaster,4,tragedy,4,0.0012734797835084368,0.9164539485499251,0.0011670855759948107,1.0,,,,,,,,,,,,,,0.004629629629629629,0.003484320557491289,0.009523809523809525,,,,,,,,,,0.019230769230769232,,,,,,,
consumer,4,economy,3,0.0012734797835084368,1.0413926851582251,0.0013261925312425663,1.0,,,,,,,,,,,,,,0.004629629629629629,,,,,,,,,,,0.008888888888888889,,,,,,0.030303030303030304,,
USCourt,4,judicial,4,0.0012734797835084368,0.9164539485499251,0.0011670855759948107,1.0,,,,,,,,,,0.02564102564102564,,0.004149377593360996,,0.004629629629629629,,,,,,,,,,,,,,,,0.006993006993006993,,,
military,4,war,4,0.0012734797835084368,0.9164539485499251,0.0011670855759948107,1.0,,,0.014492753623188406,,,,,,0.015873015873015872,,,,,0.004629629629629629,0.003484320557491289,,,,,,,,,,,,,,,,,,
ericTrump,3,trumpFamily,1,0.0009551098376313276,1.5185139398778875,0.0014503476025576768,1.0,,,,,,,,,,,,,,,,,,,,,0.05555555555555555,,,,,,,,,,,,
samNunberg,3,trumpStaff,1,0.0009551098376313276,1.5185139398778875,0.0014503476025576768,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.061224489795918366,,,,,,,,,
rodRosenstein,3,judicial,1,0.0009551098376313276,1.5185139398778875,0.0014503476025576768,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,
enriquePenaNieto,3,foreignLeader,2,0.0009551098376313276,1.2174839442139063,0.0011628308922768922,1.0,,,,,,,,,,,,,,,,,,0.014492753623188406,,,,,,,,,,,,,,0.008695652173913044,
deportation,3,immigration,3,0.0009551098376313276,1.0413926851582251,0.0009946443984319246,1.0,,,,,,0.004878048780487805,0.010526315789473684,,,,,,,,,,,,,,,,,,,,,,,,,0.004347826086956522,
white house official,3,trumpStaff,3,0.0009551098376313276,1.0413926851582251,0.0009946443984319246,1.0,,0.009615384615384616,,,,0.004878048780487805,,,,,,,,,,,,,,,,,,,,,,,,,,0.004347826086956522,
law firm,3,judicial,1,0.0009551098376313276,1.5185139398778875,0.0014503476025576768,1.0,,,0.043478260869565216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ninth circuit,3,judicial,1,0.0009551098376313276,1.5185139398778875,0.0014503476025576768,1.0,,,,,,,,,,,,,,,0.010452961672473868,,,,,,,,,,,,,,,,,,
allegation,3,controversy,3,0.0009551098376313276,1.0413926851582251,0.0009946443984319246,1.0,,,,,,,,,,,,0.004149377593360996,,,,,,,,,,,,,,,,,,0.006993006993006993,,,0.011235955056179775
fundraiser,3,election,2,0.0009551098376313276,1.2174839442139063,0.0011628308922768922,1.0,,,,,,,,,,,,,,0.009259259259259259,0.003484320557491289,,,,,,,,,,,,,,,,,,
HRMcmaster,3,trumpStaff,3,0.0009551098376313276,1.0413926851582251,0.0009946443984319246,1.0,,0.009615384615384616,,,0.022727272727272728,,,,,,,,,,,,,,,,,,0.012345679012345678,,,,,,,,,,
tradeWar,3,foreignTrade,1,0.0009551098376313276,1.5185139398778875,0.0014503476025576768,1.0,,,,,,,,,,,,,,,,,,,,,,,,,0.013333333333333334,,,,,,,,
diplomat,3,internationalPolitics,3,0.0009551098376313276,1.0413926851582251,0.0009946443984319246,1.0,,,,,,,,,,,,,0.03333333333333333,,,0.009523809523809525,,,,,,0.008849557522123894,,,,,,,,,,,
poll,3,opinionPolls,2,0.0009551098376313276,1.2174839442139063,0.0011628308922768922,1.0,,,,,,,,,,,,,,0.004629629629629629,0.006968641114982578,,,,,,,,,,,,,,,,,,
aluminum tariff,3,foreignTrade,1,0.0009551098376313276,1.5185139398778875,0.0014503476025576768,1.0,,,,,,,,,,,,,,,,,,,,,,,,,0.013333333333333334,,,,,,,,
boeing,3,economy,1,0.0009551098376313276,1.5185139398778875,0.0014503476025576768,1.0,,,,,,,,,,,,,,,0.010452961672473868,,,,,,,,,,,,,,,,,,
data,3,privacy,2,0.0009551098376313276,1.2174839442139063,0.0011628308922768922,1.0,,,,,0.022727272727272728,,,,,,,,,,,,,,,,,,,,,,,,,,0.06060606060606061,,
fox news,3,media,3,0.0009551098376313276,1.0413926851582251,0.0009946443984319246,1.0,,,,,,0.004878048780487805,,,,,,0.004149377593360996,,,,,,,,,,,,,,,,,,,,0.004347826086956522,
denuclearization,3,war,3,0.0009551098376313276,1.0413926851582251,0.0009946443984319246,1.0,,,,,,,,,,,,,,,,,,,,0.024390243902439025,,0.008849557522123894,,,,0.019230769230769232,,,,,,,
capitol hill,3,government,3,0.0009551098376313276,1.0413926851582251,0.0009946443984319246,1.0,,,,,,0.004878048780487805,,,,,,,,,,,,,,,0.018518518518518517,,,,,,,,,,0.030303030303030304,,
resolution,3,internationalPolitics,3,0.0009551098376313276,1.0413926851582251,0.0009946443984319246,1.0,,,,,,0.004878048780487805,,,,,,,,,,,,,,,,0.008849557522123894,,,,,,,,,,,0.011235955056179775
lindseyGraham,3,republican,1,0.0009551098376313276,1.5185139398778875,0.0014503476025576768,1.0,,,,,,,,,,,,,,,,,,,,,,,,,0.013333333333333334,,,,,,,,
cbs,3,media,2,0.0009551098376313276,1.2174839442139063,0.0011628308922768922,1.0,0.023255813953488372,,,,,,,,,,,,,,,,,,,,,,,,0.008888888888888889,,,,,,,,
school,3,education,2,0.0009551098376313276,1.2174839442139063,0.0011628308922768922,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.019417475728155338,,,0.030303030303030304,,
litigation,3,judicial,2,0.0009551098376313276,1.2174839442139063,0.0011628308922768922,1.0,,,,,,,,,,0.05128205128205128,,,,,,,,,,,,,,,,,,,,0.006993006993006993,,,
johnDowd,3,trumpStaff,3,0.0009551098376313276,1.0413926851582251,0.0009946443984319246,1.0,,0.009615384615384616,0.014492753623188406,,0.022727272727272728,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stephenMiller,3,trumpStaff,2,0.0009551098376313276,1.2174839442139063,0.0011628308922768922,1.0,,,,,,,,,,,,,,,,,,,,,,,0.024691358024691357,,,,,,,,,0.004347826086956522,
plaintiff,3,judicial,1,0.0009551098376313276,1.5185139398778875,0.0014503476025576768,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02097902097902098,,,
nbc,3,media,3,0.0009551098376313276,1.0413926851582251,0.0009946443984319246,1.0,,,,,,,,,,,,,,,,,,,,,,0.008849557522123894,,,0.0044444444444444444,,,,,0.006993006993006993,,,
midterm,3,election,2,0.0009551098376313276,1.2174839442139063,0.0011628308922768922,1.0,,,,,,,,0.047619047619047616,,0.02564102564102564,,,,,,,,,,,,,,,,,,,,,,,
deficit,3,foreignTrade,2,0.0009551098376313276,1.2174839442139063,0.0011628308922768922,1.0,,,,,,,,,,,,,,0.009259259259259259,0.003484320557491289,,,,,,,,,,,,,,,,,,
secondamendment,3,guns,2,0.0009551098376313276,1.2174839442139063,0.0011628308922768922,1.0,,,,,,,,,,,,,,,0.003484320557491289,,,,,,,,,,,,,0.019417475728155338,,,,,
johnKasich,3,republican,2,0.0009551098376313276,1.2174839442139063,0.0011628308922768922,1.0,,,,,,,,,,,,,,,,,,,,,,,,,0.008888888888888889,,,,,,,0.004347826086956522,
economist,3,economy,1,0.0009551098376313276,1.5185139398778875,0.0014503476025576768,1.0,,,,,,,,,,,,,,,,,,,,,,,,,0.013333333333333334,,,,,,,,
judiciary,2,judicial,2,0.0006367398917542184,1.2174839442139063,0.0007752205948512615,1.0,,,,,,,,,,,,,,0.004629629629629629,0.003484320557491289,,,,,,,,,,,,,,,,,,
syria,2,middleEast,1,0.0006367398917542184,1.5185139398778875,0.0009668984017051178,1.0,,,,,,,,,,,,,,,,0.01904761904761905,,,,,,,,,,,,,,,,,
missile,2,war,1,0.0006367398917542184,1.5185139398778875,0.0009668984017051178,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.038461538461538464,,,,,,,
teacher,2,education,2,0.0006367398917542184,1.2174839442139063,0.0007752205948512615,1.0,,,,0.023255813953488372,,,,,,,,,,,,,,,,,,,,,,,,0.009708737864077669,,,,,
immigration deal,2,immigration,1,0.0006367398917542184,1.5185139398778875,0.0009668984017051178,1.0,,,,,,0.00975609756097561,,,,,,,,,,,,,,,,,,,,,,,,,,,
embassy,2,internationalPolitics,2,0.0006367398917542184,1.2174839442139063,0.0007752205948512615,1.0,,,,,,,,,,,,,,,,0.009523809523809525,,,,,0.018518518518518517,,,,,,,,,,,,
protests,2,controversy,1,0.0006367398917542184,1.5185139398778875,0.0009668984017051178,1.0,,,,0.046511627906976744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
immigration bill,2,immigration,1,0.0006367398917542184,1.5185139398778875,0.0009668984017051178,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008695652173913044,
state court,2,judicial,1,0.0006367398917542184,1.5185139398778875,0.0009668984017051178,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02247191011235955
west virginia,2,unitedStates,1,0.0006367398917542184,1.5185139398778875,0.0009668984017051178,1.0,,,,,,,,,,,,,,,,,,,,,,,,,0.008888888888888889,,,,,,,,
gun control,2,guns,2,0.0006367398917542184,1.2174839442139063,0.0007752205948512615,1.0,,,,,,,,,,,,,,,,,,,,,,,0.012345679012345678,,,,,0.009708737864077669,,,,,
korean peninsula,2,northSouthKorea,2,0.0006367398917542184,1.2174839442139063,0.0007752205948512615,1.0,,,,,,,,,,,,,,0.004629629629629629,0.003484320557491289,,,,,,,,,,,,,,,,,,
jurisdiction,2,judicial,2,0.0006367398917542184,1.2174839442139063,0.0007752205948512615,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006993006993006993,,,0.011235955056179775
fox news sunday,2,media,1,0.0006367398917542184,1.5185139398778875,0.0009668984017051178,1.0,,,,,,,,,,,,,,,,,,,,,,,,,0.008888888888888889,,,,,,,,
jury trial,2,judicial,1,0.0006367398917542184,1.5185139398778875,0.0009668984017051178,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013986013986013986,,,
missile launch,2,war,2,0.0006367398917542184,1.2174839442139063,0.0007752205948512615,1.0,,,,,,,,,,,,,,0.004629629629629629,0.003484320557491289,,,,,,,,,,,,,,,,,,
andrewWeissmann,2,judicial,1,0.0006367398917542184,1.5185139398778875,0.0009668984017051178,1.0,,,,,,,,,,,,0.008298755186721992,,,,,,,,,,,,,,,,,,,,,
steel mill,2,economy,1,0.0006367398917542184,1.5185139398778875,0.0009668984017051178,1.0,,,,,,,,,,,,,,,0.006968641114982578,,,,,,,,,,,,,,,,,,
benCarson,2,trumpStaff,1,0.0006367398917542184,1.5185139398778875,0.0009668984017051178,1.0,,0.019230769230769232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dnc,2,democrat,1,0.0006367398917542184,1.5185139398778875,0.0009668984017051178,1.0,,,,,,,,,,,,0.008298755186721992,,,,,,,,,,,,,,,,,,,,,
conorLamb,2,democrat,1,0.0006367398917542184,1.5185139398778875,0.0009668984017051178,1.0,,,,,,,,,,,,,,0.009259259259259259,,,,,,,,,,,,,,,,,,,
detention center,2,immigration,1,0.0006367398917542184,1.5185139398778875,0.0009668984017051178,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008695652173913044,
bordersecurity,2,immigration,2,0.0006367398917542184,1.2174839442139063,0.0007752205948512615,1.0,,,,,,0.004878048780487805,,,,,,,,,,,,,,,,,,,,,,,,,,0.004347826086956522,
diversity,2,racialTension,1,0.0006367398917542184,1.5185139398778875,0.0009668984017051178,1.0,,,,,,,,,,,,,,,,,,0.028985507246376812,,,,,,,,,,,,,,,
wall street journal,2,media,2,0.0006367398917542184,1.2174839442139063,0.0007752205948512615,1.0,,,,,,,,,,,,,,,,,0.021739130434782608,,,,,,,,0.0044444444444444444,,,,,,,,
gop,2,republican,2,0.0006367398917542184,1.2174839442139063,0.0007752205948512615,1.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0044444444444444444,,,,,,,0.004347826086956522,
hearing,2,judicial,2,0.0006367398917542184,1.2174839442139063,0.0007752205948512615,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006993006993006993,,0.004347826086956522,
jerryBrown,2,democrat,1,0.0006367398917542184,1.5185139398778875,0.0009668984017051178,1.0,,,,,,,,,,,,,,,,,,0.028985507246376812,,,,,,,,,,,,,,,
us treasury,2,economy,1,0.0006367398917542184,1.5185139398778875,0.0009668984017051178,1.0,,,,,,,,,,,,,,,,,,,,,0.037037037037037035,,,,,,,,,,,,
cia,2,intelligence,1,0.0006367398917542184,1.5185139398778875,0.0009668984017051178,1.0,,,,,,,,,,,,,,,,,0.043478260869565216,,,,,,,,,,,,,,,,
dylannRoof,2,guns,2,0.0006367398917542184,1.2174839442139063,0.0007752205948512615,1.0,,,,,,,,,,,,,,0.004629629629629629,0.003484320557491289,,,,,,,,,,,,,,,,,,
peterStrzok,2,lawEnforcement,1,0.0006367398917542184,1.5185139398778875,0.0009668984017051178,1.0,,,,,,,,,,,,0.008298755186721992,,,,,,,,,,,,,,,,,,,,,
womensRights,2,civilRights,2,0.0006367398917542184,1.2174839442139063,0.0007752205948512615,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006993006993006993,,,0.011235955056179775
davidSchwartz,2,judicial,1,0.0006367398917542184,1.5185139398778875,0.0009668984017051178,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013986013986013986,,,
us government,2,government,2,0.0006367398917542184,1.2174839442139063,0.0007752205948512615,1.0,,,,,,,,,,,,,,0.004629629629629629,,,,,,,,0.008849557522123894,,,,,,,,,,,
subpoena,2,judicial,1,0.0006367398917542184,1.5185139398778875,0.0009668984017051178,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.04081632653061224,,,,,,,,,
peace talk,2,war,1,0.0006367398917542184,1.5185139398778875,0.0009668984017051178,1.0,,,,,,,,,,,,,,,,0.01904761904761905,,,,,,,,,,,,,,,,,
alanDershowitz,2,judicial,1,0.0006367398917542184,1.5185139398778875,0.0009668984017051178,1.0,,,,,,,0.021052631578947368,,,,,,,,,,,,,,,,,,,,,,,,,,
russia investigation,2,russiaElectionInterference,2,0.0006367398917542184,1.2174839442139063,0.0007752205948512615,1.0,,,,,,,,,,,,,,,,,,,,,,,0.012345679012345678,,,,,,0.016666666666666666,,,,
prosecutor,2,judicial,1,0.0006367398917542184,1.5185139398778875,0.0009668984017051178,1.0,,,,,,,,,,,,0.008298755186721992,,,,,,,,,,,,,,,,,,,,,
court filing,2,judicial,1,0.0006367398917542184,1.5185139398778875,0.0009668984017051178,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013986013986013986,,,
san francisco,2,unitedStates,1,0.0006367398917542184,1.5185139398778875,0.0009668984017051178,1.0,,,,,,,,,,,,,,,,,,0.028985507246376812,,,,,,,,,,,,,,,
joshHawley,2,judicial,1,0.0006367398917542184,1.5185139398778875,0.0009668984017051178,1.0,,,,,,,,,,,,,,0.009259259259259259,,,,,,,,,,,,,,,,,,,
rally,2,election,2,0.0006367398917542184,1.2174839442139063,0.0007752205948512615,1.0,,,,0.023255813953488372,,,,,,,,,,0.004629629629629629,,,,,,,,,,,,,,,,,,,
cooperCaffrey,2,guns,1,0.0006367398917542184,1.5185139398778875,0.0009668984017051178,1.0,,,,,,,,,,0.05128205128205128,,,,,,,,,,,,,,,,,,,,,,,
integrity,2,ethics,2,0.0006367398917542184,1.2174839442139063,0.0007752205948512615,1.0,,,,,,,,,,,,,,,,0.009523809523809525,,,,,,,,,,,,,0.016666666666666666,,,,
witch hunt,2,russiaElectionInterference,1,0.0006367398917542184,1.5185139398778875,0.0009668984017051178,1.0,,,,,,,,,,,,0.008298755186721992,,,,,,,,,,,,,,,,,,,,,
us automobile,2,economy,1,0.0006367398917542184,1.5185139398778875,0.0009668984017051178,1.0,,,,,,,,,,,,,,,,,,,,,,,,,0.008888888888888889,,,,,,,,
mitchMcconnell,2,republican,2,0.0006367398917542184,1.2174839442139063,0.0007752205948512615,1.0,,,,,,0.004878048780487805,,,,,,,,0.004629629629629629,,,,,,,,,,,,,,,,,,,
russia case,2,russiaElectionInterference,1,0.0006367398917542184,1.5185139398778875,0.0009668984017051178,1.0,,,0.028985507246376812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
robPorter,2,trumpStaff,2,0.0006367398917542184,1.2174839442139063,0.0007752205948512615,1.0,,,,,,,,,,,,,,,,,0.021739130434782608,,,,,,0.012345679012345678,,,,,,,,,,
inspector general,2,judicial,1,0.0006367398917542184,1.5185139398778875,0.0009668984017051178,1.0,,,,,,,,,,,,0.008298755186721992,,,,,,,,,,,,,,,,,,,,,
johnCornyn,2,republican,2,0.0006367398917542184,1.2174839442139063,0.0007752205948512615,1.0,,,,,,0.004878048780487805,,,,,,,,,,,,,,,,,,,,,,0.009708737864077669,,,,,
abc news,2,media,2,0.0006367398917542184,1.2174839442139063,0.0007752205948512615,1.0,0.023255813953488372,0.009615384615384616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soldier,2,war,2,0.0006367398917542184,1.2174839442139063,0.0007752205948512615,1.0,,,,,,,,,,,,,,0.004629629629629629,0.003484320557491289,,,,,,,,,,,,,,,,,,
appeal judge,2,judicial,1,0.0006367398917542184,1.5185139398778875,0.0009668984017051178,1.0,,,,,,,,,,,,,,,0.006968641114982578,,,,,,,,,,,,,,,,,,
